index,cercania_subtes,cercania_av,cercania_tren,cercania_bus,cercania_hospi,cercania_est_edu,cercania_univ,cercania_comisarias,cercania_verde,cant_deptos,cant_subte,cant_hospi,cant_univ,cant_edu,cant_banco,cant_gastro,cant_cult,cant_delito
Colegiales,0.005978832012345853,0.001848921376922177,0.005190424161380154,0.0055253519579878604,0.01916129408254481,0.0011905038230309848,0.008509947344701686,0.01049902778350082,0.0027454500476958143,93.20912547528518,0.3231939163498099,0.0,0.07984790874524715,11.954372623574145,4.4600760456273765,0.22053231939163498,7.699619771863118,174.82889733840304
Constitucion,0.002667658760026398,0.0012325245938151071,0.007102058296716122,0.0036954897872972887,0.006672490596686882,0.0015475168315136028,0.003879149056236847,0.004410612426414125,0.0017896055480151997,131.84790874524714,1.688212927756654,0.1444866920152091,0.6730038022813688,11.76425855513308,2.159695817490494,0.0,10.855513307984792,372.52471482889734
Flores,0.0046404703864118355,0.0009393182920823907,0.006794372282449879,0.005185026535300816,0.008319413029559216,0.0011624535670290783,0.0056366163883649865,0.006621472458970958,0.0026353347152950376,182.0158550396376,0.5639864099660249,0.06002265005662514,0.5152887882219706,12.12797281993205,5.138165345413364,0.0,5.792751981879955,281.24122310305773
Floresta,0.013029864943089518,0.0012617977828125015,0.0064478626120272504,0.005373922183354323,0.013659451032945677,0.0017101160999611449,0.012167021489456102,0.005013270435248319,0.00336069049447747,60.58682634730539,0.0,0.0,0.0,10.95808383233533,0.6826347305389222,0.04790419161676647,2.215568862275449,211.22155688622755
Liniers,0.0504435335285404,0.00222650457120064,0.009540026848379296,0.008623377514257811,0.00881407126910709,0.001639510290634431,0.045647473226680016,0.011848818767798351,0.002683998497387993,54.13725490196079,0.0,0.058823529411764705,0.0,7.627450980392157,2.7205882352941178,0.0,1.6862745098039216,153.74019607843138
Mataderos,0.04264638306473196,0.0015528061843837063,0.020614884804781946,0.022977273041412224,0.01590512072998681,0.0021962990957440946,0.03479860228091853,0.009270763054975793,0.002664327064083248,33.92903225806452,0.0,0.0,0.0,4.948387096774193,1.4193548387096775,0.0,2.0903225806451613,97.16774193548387
Monserrat,0.0028946475388700677,0.0009139275772661623,0.014288369023072161,0.004080993201498255,0.013492908217687704,0.000936553921239316,0.0024815140005152955,0.006480654905905729,0.0023047840165937635,155.7762237762238,1.843822843822844,0.0,1.5337995337995338,14.324009324009324,7.8997668997669,1.5174825174825175,31.748251748251747,338.6177156177156
Monte Castro,0.03660210128546927,0.0015847084815081378,0.015214276659719708,0.01322404013500681,0.00469778099007794,0.001501726980788973,0.023195289392449393,0.018302119241207553,0.003335408508576924,34.01960784313726,0.0,0.39215686274509803,0.0,8.205882352941176,1.1470588235294117,0.0,1.4607843137254901,117.15686274509804
Nunez,0.009951153116837294,0.0012780090108547994,0.005105670168901698,0.005075864132868566,0.018826339024200445,0.0018473244881107144,0.012622513420481395,0.007128276068237936,0.002363967219155258,108.90656565656566,0.10353535353535354,0.0,0.03282828282828283,7.247474747474747,2.0126262626262625,0.16414141414141414,3.712121212121212,176.57323232323233
Palermo,0.004895069204740967,0.0012210735899466215,0.006336277096424091,0.005498835696073141,0.01596943110238059,0.0013520573296661345,0.0043420754915199965,0.008846773370924191,0.0023516106870357157,351.243940578577,0.4988272087568413,0.046129788897576234,0.7685691946833464,11.126270523846756,2.867474589523065,0.6141516810007819,9.860437842064112,318.5281469898358
